Data,Dia da Semana,Feriado
1/1/2001,segunda-feira,Confraternização Universal
2/26/2001,segunda-feira,Carnaval
2/27/2001,terça-feira,Carnaval
4/13/2001,sexta-feira,Paixão de Cristo
4/21/2001,sábado,Tiradentes
5/1/2001,terça-feira,Dia do Trabalho
6/14/2001,quinta-feira,Corpus Christi
9/7/2001,sexta-feira,Independência do Brasil
10/12/2001,sexta-feira,Nossa Sr.a Aparecida - Padroeira do Brasil
11/2/2001,sexta-feira,Finados
11/15/2001,quinta-feira,Proclamação da República
12/25/2001,terça-feira,Natal
1/1/2002,terça-feira,Confraternização Universal
2/11/2002,segunda-feira,Carnaval
2/12/2002,terça-feira,Carnaval
3/29/2002,sexta-feira,Paixão de Cristo
4/21/2002,domingo,Tiradentes
5/1/2002,quarta-feira,Dia do Trabalho
5/30/2002,quinta-feira,Corpus Christi
9/7/2002,sábado,Independência do Brasil
10/12/2002,sábado,Nossa Sr.a Aparecida - Padroeira do Brasil
11/2/2002,sábado,Finados
11/15/2002,sexta-feira,Proclamação da República
12/25/2002,quarta-feira,Natal
1/1/2003,quarta-feira,Confraternização Universal
3/3/2003,segunda-feira,Carnaval
3/4/2003,terça-feira,Carnaval
4/18/2003,sexta-feira,Paixão de Cristo
4/21/2003,segunda-feira,Tiradentes
5/1/2003,quinta-feira,Dia do Trabalho
6/19/2003,quinta-feira,Corpus Christi
9/7/2003,domingo,Independência do Brasil
10/12/2003,domingo,Nossa Sr.a Aparecida - Padroeira do Brasil
11/2/2003,domingo,Finados
11/15/2003,sábado,Proclamação da República
12/25/2003,quinta-feira,Natal
1/1/2004,quinta-feira,Confraternização Universal
2/23/2004,segunda-feira,Carnaval
2/24/2004,terça-feira,Carnaval
4/9/2004,sexta-feira,Paixão de Cristo
4/21/2004,quarta-feira,Tiradentes
5/1/2004,sábado,Dia do Trabalho
6/10/2004,quinta-feira,Corpus Christi
9/7/2004,terça-feira,Independência do Brasil
10/12/2004,terça-feira,Nossa Sr.a Aparecida - Padroeira do Brasil
11/2/2004,terça-feira,Finados
11/15/2004,segunda-feira,Proclamação da República
12/25/2004,sábado,Natal
1/1/2005,sábado,Confraternização Universal
2/7/2005,segunda-feira,Carnaval
2/8/2005,terça-feira,Carnaval
3/25/2005,sexta-feira,Paixão de Cristo
4/21/2005,quinta-feira,Tiradentes
5/1/2005,domingo,Dia do Trabalho
5/26/2005,quinta-feira,Corpus Christi
9/7/2005,quarta-feira,Independência do Brasil
10/12/2005,quarta-feira,Nossa Sr.a Aparecida - Padroeira do Brasil
11/2/2005,quarta-feira,Finados
11/15/2005,terça-feira,Proclamação da República
12/25/2005,domingo,Natal
1/1/2006,domingo,Confraternização Universal
2/27/2006,segunda-feira,Carnaval
2/28/2006,terça-feira,Carnaval
4/14/2006,sexta-feira,Paixão de Cristo
4/21/2006,sexta-feira,Tiradentes
5/1/2006,segunda-feira,Dia do Trabalho
6/15/2006,quinta-feira,Corpus Christi
9/7/2006,quinta-feira,Independência do Brasil
10/12/2006,quinta-feira,Nossa Sr.a Aparecida - Padroeira do Brasil
11/2/2006,quinta-feira,Finados
11/15/2006,quarta-feira,Proclamação da República
12/25/2006,segunda-feira,Natal
1/1/2007,segunda-feira,Confraternização Universal
2/19/2007,segunda-feira,Carnaval
2/20/2007,terça-feira,Carnaval
4/6/2007,sexta-feira,Paixão de Cristo
4/21/2007,sábado,Tiradentes
5/1/2007,terça-feira,Dia do Trabalho
6/7/2007,quinta-feira,Corpus Christi
9/7/2007,sexta-feira,Independência do Brasil
10/12/2007,sexta-feira,Nossa Sr.a Aparecida - Padroeira do Brasil
11/2/2007,sexta-feira,Finados
11/15/2007,quinta-feira,Proclamação da República
12/25/2007,terça-feira,Natal
1/1/2008,terça-feira,Confraternização Universal
2/4/2008,segunda-feira,Carnaval
2/5/2008,terça-feira,Carnaval
3/21/2008,sexta-feira,Paixão de Cristo
4/21/2008,segunda-feira,Tiradentes
5/1/2008,quinta-feira,Dia do Trabalho
5/22/2008,quinta-feira,Corpus Christi
9/7/2008,domingo,Independência do Brasil
10/12/2008,domingo,Nossa Sr.a Aparecida - Padroeira do Brasil
11/2/2008,domingo,Finados
